recording_id,t,ball_id,x,y
rec_1,1.1,4,307.96,41.51
rec_1,1.1,5,177.19,100.74
rec_1,1.1,6,371.98,42.81
rec_1,1.1,7,313.1,220.42
rec_1,1.1,8,149.99,279.6
rec_1,1.1,9,111.26,218.83
rec_1,1.15,0,206.43,223.65
rec_1,1.15,1,36.65,73.69
rec_1,1.15,2,82.15,77.95
rec_1,1.15,3,357.7,233.29
rec_1,1.15,4,315.18,39.48
rec_1,1.15,5,169.85,99.18
rec_1,1.15,6,373.11,37.9
rec_1,1.15,7,311.71,213.05
rec_1,1.15,8,144.15,274.89
rec_1,1.15,9,106.85,212.76
rec_1,1.2,0,204.87,230.98
rec_1,1.2,1,32.8,67.26
rec_1,1.2,2,87.03,83.65
rec_1,1.2,3,350.29,232.16
rec_1,1.2,4,322.4,37.45
rec_1,1.2,5,162.52,97.62
rec_1,1.2,6,367.44,32.99
rec_1,1.2,7,310.32,205.68
rec_1,1.2,8,138.32,270.18
rec_1,1.2,9,102.44,206.69
rec_1,1.25,0,203.31,238.32
rec_1,1.25,1,28.95,60.82
rec_1,1.25,2,91.9,89.35
rec_1,1.25,3,342.87,231.02
rec_1,1.25,4,329.62,35.41
rec_1,1.25,5,155.18,96.05
rec_1,1.25,6,361.79,28.05
rec_1,1.25,7,308.93,198.32
rec_1,1.25,8,132.48,265.47
rec_1,1.25,9,98.04,200.63
rec_1,1.3,0,201.75,245.66
rec_1,1.3,1,25.1,54.38
rec_1,1.3,2,96.77,95.05
rec_1,1.3,3,335.46,229.89
rec_1,1.3,4,336.83,33.37
rec_1,1.3,5,147.85,94.49
rec_1,1.3,6,356.31,22.94
rec_1,1.3,7,307.54,190.95
rec_1,1.3,8,126.65,260.75
rec_1,1.3,9,93.63,194.56
rec_1,1.35,0,200.19,252.99
rec_1,1.35,1,21.25,47.94
rec_1,1.35,2,101.64,100.75
rec_1,1.35,3,328.05,228.75
rec_1,1.35,4,344.09,31.45
rec_1,1.35,5,140.51,92.92
rec_1,1.35,6,351.15,18
rec_1,1.35,7,306.15,183.58
rec_1,1.35,8,120.81,256.04
rec_1,1.35,9,89.22,188.49
rec_1,1.4,0,198.63,260.33
rec_1,1.4,1,18,41.51
rec_1,1.4,2,106.41,106.54
rec_1,1.4,3,320.63,227.62
rec_1,1.4,4,351.44,30.02
rec_1,1.4,5,133.19,91.29
rec_1,1.4,6,346.0,23.45
rec_1,1.4,7,304.75,176.21
rec_1,1.4,8,114.98,251.33
rec_1,1.4,9,84.81,182.42
rec_1,1.45,0,197.06,267.66
rec_1,1.45,1,21.85,35.07
rec_1,1.45,2,110.94,112.52
rec_1,1.45,3,313.22,226.48
rec_1,1.45,4,358.89,29.14
rec_1,1.45,5,125.92,89.45
rec_1,1.45,6,340.4,28.43
rec_1,1.45,7,303.36,168.84
rec_1,1.45,8,109.14,246.62
rec_1,1.45,9,80.41,176.35
rec_1,1.5,0,195.5,275.0
rec_1,1.5,1,25.7,28.63
rec_1,1.5,2,115.18,118.7
rec_1,1.5,3,305.81,225.35
rec_1,1.5,4,366.35,28.38
rec_1,1.5,5,118.75,87.26
rec_1,1.5,6,334.54,33.12
rec_1,1.5,7,301.97,161.47
rec_1,1.5,8,103.3,241.91
rec_1,1.5,9,76.0,170.28
rec_1,1.55,0,193.94,282.33
rec_1,1.55,1,29.55,22.2
rec_1,1.55,2,119.26,125.0
rec_1,1.55,3,298.39,224.21
rec_1,1.55,4,373.81,27.62
rec_1,1.55,5,111.67,84.8
rec_1,1.55,6,328.59,37.68
rec_1,1.55,7,300.58,154.1
rec_1,1.55,8,97.47,237.2
rec_1,1.55,9,71.59,164.21
rec_1,1.6,0,192.38,289.67
rec_1,1.6,1,33.39,20.15
rec_1,1.6,2,123.3,131.32
rec_1,1.6,3,290.98,223.08
rec_1,1.6,4,370.03,26.85
rec_1,1.6,5,104.62,82.23
rec_1,1.6,6,322.62,42.23
rec_1,1.6,7,299.19,146.73
rec_1,1.6,8,91.63,232.49
rec_1,1.6,9,67.19,158.14
rec_1,1.65,0,190.82,297.01
rec_1,1.65,1,37.24,26.58
rec_1,1.65,2,127.33,137.64
rec_1,1.65,3,283.57,221.94
rec_1,1.65,4,362.57,26.07
rec_1,1.65,5,97.57,79.66
rec_1,1.65,6,316.66,46.77
rec_1,1.65,7,297.79,139.36
rec_1,1.65,8,85.8,227.78
rec_1,1.65,9,62.78,152.08
rec_1,1.7,0,189.26,304.34
rec_1,1.7,1,41.09,33.02
rec_1,1.7,2,131.37,143.96
rec_1,1.7,3,276.15,220.81
rec_1,1.7,4,355.11,25.3
rec_1,1.7,5,90.53,77.09
rec_1,1.7,6,310.69,51.32
rec_1,1.7,7,296.4,131.99
rec_1,1.7,8,79.96,223.06
rec_1,1.7,9,58.37,146.01
rec_1,1.75,0,187.7,311.68
rec_1,1.75,1,44.94,39.46
rec_1,1.75,2,135.41,150.28
rec_1,1.75,3,268.74,219.67
rec_1,1.75,4,347.65,24.53
rec_1,1.75,5,83.48,74.52
rec_1,1.75,6,304.73,55.86
rec_1,1.75,7,295.01,124.62
rec_1,1.75,8,74.13,218.35
rec_1,1.75,9,53.97,139.94
rec_1,1.8,0,186.14,319.01
rec_1,1.8,1,48.79,45.9
rec_1,1.8,2,139.44,156.6
rec_1,1.8,3,261.32,218.54
rec_1,1.8,4,340.19,23.76
rec_1,1.8,5,76.43,71.95
rec_1,1.8,6,298.76,60.41
rec_1,1.8,7,293.62,117.25
rec_1,1.8,8,68.29,213.64
rec_1,1.8,9,49.56,133.87
rec_1,1.85,0,184.58,319.55
rec_1,1.85,1,52.59,52.36
rec_1,1.85,2,143.48,162.93
rec_1,1.85,3,253.91,217.4
rec_1,1.85,4,332.73,22.99
rec_1,1.85,5,69.36,69.46
rec_1,1.85,6,292.8,64.96
rec_1,1.85,7,292.23,109.88
rec_1,1.85,8,62.46,208.93
rec_1,1.85,9,45.15,127.8
rec_1,1.9,0,183.02,312.22
rec_1,1.9,1,56.3,58.88
rec_1,1.9,2,147.51,169.25
rec_1,1.9,3,246.5,216.27
rec_1,1.9,4,325.26,22.22
rec_1,1.9,5,62.22,67.16
rec_1,1.9,6,286.8,69.46
rec_1,1.9,7,290.82,102.51
rec_1,1.9,8,56.62,204.22
rec_1,1.9,9,40.75,121.73
rec_1,1.95,0,181.45,304.88
rec_1,1.95,1,60.04,65.38
rec_1,1.95,2,151.55,175.57
rec_1,1.95,3,239.08,215.13
rec_1,1.95,4,317.8,21.45
rec_1,1.95,5,54.94,65.36
rec_1,1.95,6,280.67,73.77
rec_1,1.95,7,289.41,95.14
rec_1,1.95,8,50.78,199.51
rec_1,1.95,9,36.34,115.66
rec_1,2.0,0,179.89,297.55
rec_1,2.0,1,64.25,71.58
rec_1,2.0,2,155.58,181.89
rec_1,2.0,3,231.67,214.0
rec_1,2.0,4,310.34,20.68
rec_1,2.0,5,47.6,63.84
rec_1,2.0,6,274.28,77.7
rec_1,2.0,7,288.12,87.76
rec_1,2.0,8,44.95,194.8
rec_1,2.0,9,31.93,109.59
rec_1,2.05,0,178.33,290.21
rec_1,2.05,1,68.71,77.61
rec_1,2.05,2,159.62,188.21
rec_1,2.05,3,224.26,212.86
rec_1,2.05,4,302.88,19.91
rec_1,2.05,5,40.28,62.21
rec_1,2.05,6,267.63,81.18
rec_1,2.05,7,287.23,80.31
rec_1,2.05,8,39.11,190.09
rec_1,2.05,9,27.52,103.53
rec_1,2.1,0,176.77,282.88
rec_1,2.1,1,73.26,83.57
rec_1,2.1,2,163.65,194.53
rec_1,2.1,3,216.84,211.73
rec_1,2.1,4,295.42,19.14
rec_1,2.1,5,32.99,60.43
rec_1,2.1,6,260.89,84.45
rec_1,2.1,7,286.87,72.82
rec_1,2.1,8,33.28,185.37
rec_1,2.1,9,23.07,97.5
rec_1,2.15,0,175.21,275.54
